,2020-COMPAL ELECTRONICS-CSR,max
Biodiversity and Land Use,107,107
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,7,7
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,3,3
Packaging Material and Waste,95,95
Product Carbon Footprint,2,2
Raw Material Sourcing,8,8
Toxic Emissions and Waste,5,5
Water Stress,67,67
Accounting,0,0
Board,0,0
Business Ethics,35,35
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,33,33
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,2,2
Health and Safety,158,158
Human Capital Development,49,49
Labor Management,302,302
Opportunities in Nutrition and Health,12,12
Privacy and Data Security,44,44
Product Safety and Quality,108,108
Responsible Investment,0,0
Supply Chain Labor Standards,88,88
Not ESG,255,255
