,2020-HAIER SMART HOME-Annual,max
Biodiversity and Land Use,44,44
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,29,29
Financing Environmental Impact,11,11
Opportunities in Clean Tech,4,4
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,2,2
Packaging Material and Waste,101,101
Product Carbon Footprint,0,0
Raw Material Sourcing,25,25
Toxic Emissions and Waste,7,7
Water Stress,56,56
Accounting,10,10
Board,0,0
Business Ethics,31,31
Ownership and Control,13,13
Pay,0,0
Tax Transparency,3,3
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,46,46
Controversial Sourcing,1,1
Financial Product Safety,4,4
Health and Demographic Risk,4,4
Health and Safety,28,28
Human Capital Development,38,38
Labor Management,508,508
Opportunities in Nutrition and Health,11,11
Privacy and Data Security,39,39
Product Safety and Quality,191,191
Responsible Investment,1,1
Supply Chain Labor Standards,125,125
Not ESG,1381,1381
